symbol,ts,open,high,low,close,volume
0G/USDT,1760699940000,1.844,1.847,1.844,1.847,229.67
1000CAT/USDT,1760699940000,0.00545,0.00546,0.00545,0.00546,83048.1
1000CHEEMS/USDT,1760699940000,0.00148,0.001482,0.00148,0.001482,548640.0
1000SATS/USDT,1760699940000,2.388e-05,2.39e-05,2.385e-05,2.387e-05,271650684.0
1INCH/USDT,1760699940000,0.172,0.1722,0.172,0.1722,2402.7
1INCHDOWN/USDT,1638414000000,0.006148,0.006148,0.006148,0.006148,0.0
1INCHUP/USDT,1638414000000,0.065703,0.065703,0.065703,0.065703,304.4
1MBABYDOGE/USDT,1760699940000,0.0009843,0.000985,0.0009833,0.0009847,6785202.0
2Z/USDT,1760699940000,0.23805,0.23828,0.23771,0.23819,69522.0
A/USDT,1760699940000,0.2837,0.2838,0.2834,0.2838,4182.2
A2Z/USDT,1760699940000,0.00387,0.00387,0.00387,0.00387,231931.0
AAVE/USDT,1760699940000,212.23,212.41,211.91,212.35,286.192
AAVEDOWN/USDT,1636599540000,0.004677,0.004679,0.004673,0.004673,53137.92
AAVEUP/USDT,1636599540000,0.6007,0.601,0.6003,0.6008,583.56
ACA/USDT,1760699940000,0.0181,0.0181,0.018,0.018,7601.66
ACE/USDT,1760699940000,0.293,0.294,0.293,0.294,900.7
ACH/USDT,1760699940000,0.01311,0.01312,0.01311,0.01312,59962.0
ACM/USDT,1760699940000,0.672,0.674,0.671,0.672,1939.1
ACT/USDT,1760699940000,0.0218,0.0218,0.0218,0.0218,0.0
ACX/USDT,1760699940000,0.0816,0.0816,0.0815,0.0815,5122.4
ADA/USDT,1760699940000,0.6193,0.6203,0.6189,0.6199,228119.4
ADADOWN/USDT,1692154740000,0.001915,0.001918,0.001911,0.001917,257898.41
ADAUP/USDT,1692154740000,0.105,0.105,0.104,0.104,12450.0
ADX/USDT,1760699940000,0.0948,0.0948,0.0947,0.0948,112018.0
AERGO/USDT,1743130740000,0.0635,0.0635,0.0635,0.0635,0.0
AEUR/USDT,1760699940000,1.043,1.043,1.043,1.043,0.0
AEVO/USDT,1760699940000,0.0635,0.0636,0.0634,0.0635,90808.27
AGIX/USDT,1719802740000,0.6141,0.615,0.6141,0.6141,4343.0
AGLD/USDT,1760699940000,0.391,0.392,0.391,0.392,1655.7
AI/USDT,1760699940000,0.0769,0.0771,0.0768,0.0769,11044.1
AION/USDT,1677488340000,0.0094,0.00943,0.00919,0.00943,3055812.0
AIXBT/USDT,1760699940000,0.0574,0.0575,0.0573,0.0575,46013.3
AKRO/USDT,1735095540000,0.000996,0.001013,0.000906,0.000981,21570073.0
ALCX/USDT,1760699940000,7.31,7.31,7.31,7.31,8.6089
ALGO/USDT,1760699940000,0.1775,0.1779,0.1775,0.1777,84256.0
ALICE/USDT,1760699940000,0.3717,0.3718,0.3709,0.3713,16933.05
ALPACA/USDT,1746154740000,0.2228,0.2352,0.214,0.2244,367783.8
ALPHA/USDT,1751597940000,0.0099,0.0099,0.0097,0.0097,30496.0
ALPINE/USDT,1760699940000,0.882,0.882,0.881,0.881,4309.77
ALT/USDT,1760699940000,0.01863,0.01865,0.01861,0.01862,27402.0
AMB/USDT,1740365940000,0.0003,0.00032,0.0003,0.00032,31912083.0
AMP/USDT,1760699940000,0.002447,0.002447,0.002447,0.002447,22889.0
ANC/USDT,1672109940000,0.03152,0.03152,0.03151,0.03151,117784.26
ANIME/USDT,1760699940000,0.0092,0.00921,0.0092,0.0092,40036.0
ANKR/USDT,1760699940000,0.01013,0.01014,0.01012,0.01012,47569.5
ANT/USDT,1708397940000,7.405,7.407,7.405,7.407,5.6
ANY/USDT,1648612740000,12.34,12.34,12.3,12.3,368.33
APE/USDT,1760699940000,0.3924,0.3931,0.3922,0.3922,10390.82
API3/USDT,1760699940000,0.6441,0.6453,0.6436,0.6439,9908.95
APT/USDT,1760699940000,3.112,3.119,3.112,3.114,3328.4
